listing_id,offer_type,property_type,price,currency,area_m2,area_unit,bedrooms,bathrooms,governorate,city,district,compound,latitude,longitude,listed_at,furnished,payment_plan,is_verified,source_url,listing_url,title,description,listed_month,listed_year,source,price_per_m2,listing_age_days,is_sale
propertyfinder_eg:71398941,rent,Apartment,80000,EGP,145,sqm,2,2,Cairo,Cairo,The 5th Settlement,Unknown,30.021957397460938,31.44134521484375,2026-05-02 20:44:40+00:00,1,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-71398941.html,Apartment with garden for rent in Lake View,"Apartment with garden for rent in Lake View 
Area 145m
Garden 40m
2 bedrooms 
2 bathrooms 
Fully furnished 
Price 80k - 90k

السعر علي حسب المدة

For more details

01103900966
Lake View Residence Compound, Fifth Settlement, is one of the most wonderful things presented by Al-Hazek Construction Company to the Egyptian real estate market, as it chose the most prestigious places in New Cairo for its construction.

It has also offered, through Lake View Residence Compound, extremely luxurious units that vary between apartments, penthouses, and villas, to give the customer thinking space to choose what is best for him

The location of Lake View Residence Fifth Settlement Compound is ideal in the heart of New Cairo in the “Golden Square”, which makes it enjoy the following advantages:

Very close to the ""Bin Zayed"" axis.

Surrounded by Mivida, Sodic, Layan, and Kattameya Palm Hills.

Located minutes away from the American University.

Lake View Residence Compound is located just two minutes away from Al-Nawadi Street.

It is only a few minutes away from South 90th Street.

It is less than 15 minutes away from Cairo International Airport.

It is minutes away

Century 22 Real Estate Consulting is your new advisor to find a better future. You are looking for a dream home, we are there to guide you. Due to our long experience in the Egyptian real estate market, we offer you exactly what you are looking for, if not better, to provide all amenities to satisfy and comfort cu",5,2026,Property Finder Egypt,551.7241379310345,0,0
propertyfinder_eg:71398916,rent,Apartment,25000,EGP,120,sqm,2,2,Cairo,Cairo,The 5th Settlement,Unknown,30.06942367553711,31.5997371673584,2026-05-02 20:31:52+00:00,0,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-71398916.html,UnderMarket price Apt for rent in icity with Ac's,"Apartment for rent in Mountain View iCity Compound, New Cairo
Area: 120 sq m
Finished with kitchen and air conditioners (semi-furnished)
Fourth Floor 

2 bedrooms
2 bathrooms
Reception
prime view and location

Price: 25,000 EGP

Prime Company:
A company specializing in buying and renting real estate in Cairo (Fifth Settlement - Mostakbal City). Our sales and rental specialists possess extensive experience and knowledge of each area, not only regarding advertised units but also comprehensive market pricing.",5,2026,Property Finder Egypt,208.33333333333334,0,0
propertyfinder_eg:70358925,rent,Apartment,40000,EGP,172,sqm,3,3,Cairo,Cairo,The 5th Settlement,Unknown,30.051462173461918,31.538991928100582,2026-04-29 09:30:35+00:00,0,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-the-5th-settlement-fifth-square-moon-residences-70358925.html,Apartment for Rent in Fifth Square Kitchen AC'S,"Apartment for Rent in Fifth Square Marassem 
Area 172 m
First Floor
3 bed ( 1 Master) 
3 Bath
Kitchen 
AC'S 
Net 
View land scape
 Price 40k Negotiation
Available 1/5
more details
salma
01103900966
Al Marasem Fifth Square Compound, Fifth Square, Fifth Settlement, in the Golden Square area on North Teseen Street, directly next to the largest residential projects in the Fifth Settlement. The project also overlooks a number of important main areas and axes.
Vast green spaces surround all units of Marasem Fifth Settlement Compound.
Distinctive swimming pools designs.
24-hour guarding and security throughout Fifth Square Compound, Fifth Settlement.
Private parking for residents of Al Marasem Fifth Square New Cairo.
Artificial fountains and artificial lakes provide panoramic views of the units in Fifth Square Compound, New Cairo.
Club House works to serve all units of the Marasem Fifth Settlement project.
Cafes close to all units of Marasim Fifth Settlement Compound.
Fine restaurants.
An international commercial district serving the residents of Fifth Square Compound, New Cairo.
social Club.
An area designated for childrens games.",4,2026,Property Finder Egypt,232.5581395348837,3,0
propertyfinder_eg:71398870,rent,Apartment,90000,EGP,150,sqm,2,3,Cairo,Cairo,North Investors Area,Unknown,30.028350830078125,31.40838432312012,2026-05-02 20:20:19+00:00,1,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-north-investors-area-cairo-festival-city-71398870.html,Luxury Apartment For Rent – Cairo Festival,"Luxury Apartment For Rent – Cairo Festival – Aura | 4i
Ultra Modern
Floor: 3rd Floor
Area: 150 m²
View: Greenery area

2 Bedrooms including one master
3 Bathrooms
Price 90 k
more details

01103900966
Cairo Festival City Compound is a comprehensive residential and commercial project located in New Cairo City, Egypt. The compound stands out with its modern design and diverse amenities that provide a high level of comfort and luxury for residents. Here is an overview of the compound:



Location: Cairo Festival City Compound is situated in the Fifth Settlement area of New Cairo, one of the upscale and most developed residential areas in the Egyptian capital.



Design and Construction: The compound features modern design and advanced infrastructure. The project includes a variety of residential units, including apartments and villas, with different sizes to accommodate various family needs.



Facilities and Services:



Commercial Centers: The compound includes a large shopping center (Cairo Festival City Mall) offering a wide range of retail stores, restaurants, and cafes.

Recreational Facilities: Recreational amenities include spacious green areas, health and sports clubs, children's playgrounds, and swimming pools.

Security Services: The compound provides round-the-clock security services to ensure the safety of residents.

Residential Units: Residential units are available in various sizes and designs, known for their quality construction and luxurious finishes.

Community:

Residential Environment: Cairo Festival City provides a quiet, safe, and family-friendly residential environment.

Social Activities: Various social and cultural activities are organized for residents,",5,2026,Property Finder Egypt,600.0,0,0
propertyfinder_eg:71398839,rent,Apartment,80000,EGP,230,sqm,3,4,Cairo,Cairo,North Investors Area,Unknown,30.028350830078125,31.40838432312012,2026-05-02 20:15:47+00:00,0,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-north-investors-area-cairo-festival-city-71398839.html,Apartment with garden for rent in cairo festival,"Apartment for rent 
in Cairo Festival City, 
3 bedrooms, 
4 bathrooms, 
maid's room with bathroom, 
kitchen, 
air conditioning 
and appliances, 
park view. 
Price: 73,000
more details

01103900966
Cairo Festival City Compound is a comprehensive residential and commercial project located in New Cairo City, Egypt. The compound stands out with its modern design and diverse amenities that provide a high level of comfort and luxury for residents. Here is an overview of the compound:



Location: Cairo Festival City Compound is situated in the Fifth Settlement area of New Cairo, one of the upscale and most developed residential areas in the Egyptian capital.



Design and Construction: The compound features modern design and advanced infrastructure. The project includes a variety of residential units, including apartments and villas, with different sizes to accommodate various family needs.



Facilities and Services:



Commercial Centers: The compound includes a large shopping center (Cairo Festival City Mall) offering a wide range of retail stores, restaurants, and cafes.

Recreational Facilities: Recreational amenities include spacious green areas, health and sports clubs, children's playgrounds, and swimming pools.

Security Services: The compound provides round-the-clock security services to ensure the safety of residents.

Residential Units: Residential units are available in various sizes and designs, known for their quality construction and luxurious finishes.

Community:

Residential Environment: Cairo Festival City provides a quiet, safe, and family-friendly residential environment.

Social Activities: Various social and cultural activities are organized for residents,",5,2026,Property Finder Egypt,347.82608695652175,0,0
propertyfinder_eg:71393503,rent,Apartment,55000,EGP,150,sqm,2,3,Cairo,Cairo,The 5th Settlement,Unknown,30.01116943359375,31.516115188598636,2026-05-02 13:40:36+00:00,0,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-71393503.html,Apartment for rent in Eastown,"Apartment for rent in Eastown 

Area 150m
2 bedrooms ( 1 master )
3 bathrooms 

Kitchen with appliances 
AC's 
Price 55k
more details
01103900966
Sodic Eastown Compound in Fifth Settlement is one of the residential projects located on 90th Street and close to the American University in New Cairo. Due to its distinguished location, this project is today considered among the important investment projects in the region. The implementing company has worked to give priority to green spaces in the project. .

It is the final stage of the project and reservations have already begun.",5,2026,Property Finder Egypt,366.6666666666667,0,0
propertyfinder_eg:71394421,rent,Apartment,120000,EGP,391,sqm,3,3,Cairo,Cairo,The 5th Settlement,Unknown,30.021957397460938,31.44134521484375,2026-05-02 14:16:53+00:00,1,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-71394421.html,appartment  with garden Lake View Residence,"Lake View Residence 
191m + Garden 200m
3 Bedrooms 
3 Bathrooms 
Maid Room
Private pool
Fully Furnished 
Rent 120:150 K
For more details

01103900966
Lake View Residence Compound, Fifth Settlement, is one of the most wonderful things presented by Al-Hazek Construction Company to the Egyptian real estate market, as it chose the most prestigious places in New Cairo for its construction.

It has also offered, through Lake View Residence Compound, extremely luxurious units that vary between apartments, penthouses, and villas, to give the customer thinking space to choose what is best for him

The location of Lake View Residence Fifth Settlement Compound is ideal in the heart of New Cairo in the “Golden Square”, which makes it enjoy the following advantages:

Very close to the ""Bin Zayed"" axis.

Surrounded by Mivida, Sodic, Layan, and Kattameya Palm Hills.

Located minutes away from the American University.

Lake View Residence Compound is located just two minutes away from Al-Nawadi Street.

It is only a few minutes away from South 90th Street.

It is less than 15 minutes away from Cairo International Airport.

It is minutes away

Century 22 Real Estate Consulting is your new advisor to find a better future. You are looking for a dream home, we are there to guide you. Due to our long experience in the Egyptian real estate market, we offer you exactly what you are looking for, if not better, to provide all amenities to satisfy and comfort cu",5,2026,Property Finder Egypt,306.9053708439898,0,0
propertyfinder_eg:71396476,rent,Apartment,40000,EGP,152,sqm,2,2,Cairo,Cairo,The 6th Settlement,Unknown,29.97331428527832,31.55760955810547,2026-05-02 15:48:50+00:00,0,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-the-6th-settlement-new-cairo-city-hyde-park-central-71396476.html,Apartment for rent in Hyde Park Kitchen and AC's,"Apartment for rent in Hyde Park 

Area 152m
Ground floor ( Without Garden )

2 bedrooms ( 1 master )
2 bathrooms 

Kitchen and AC's 
Price 40k
more details
salma
01103900966
Hyde Park, Fifth Settlement, is a distinguished residential project that occupies a prominent position among the most luxurious compounds in New Cairo. It is a partnership between Hyde Park and the Housing and Development Bank. It is located on an area of ​​1,200 acres, in a quiet atmosphere away from noise and pollution, and with a high level of privacy and security.
The project was implemented in the best places in New Cairo, directly on South 90th Street, and the new regional ring road, next to Mivida (Emaar), Mountain View Hyde Park, and The Square (Sabour), and 5 minutes from the American University, and 10 minutes from Cairo Airport, and 15 minutes from Heliopolis and Nasr City",5,2026,Property Finder Egypt,263.1578947368421,0,0
propertyfinder_eg:70875229,rent,Apartment,27000,EGP,185,sqm,3,2,Cairo,Cairo,The 5th Settlement,Unknown,30.000179290771484,31.552690505981445,2026-04-30 14:43:58+00:00,0,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-square-70875229.html,Empty apartment for rent in The Square Compound in,"E16136
Empty apartment for rent in The Square Compound in Fifth Settlement
Area: 185 meters 
3 bedrooms 
2 bathrooms
Fourth floor 
The price is 27 thousand
Almaz Real Estate Marketing Company

You will be your real estate advisor in investing in the New Administrative Capital (additional discounts are given to our valued customers) and you will be your guide to the best offers.

We have apartments and duplexes in all areas of New Cairo, and we have administrative, medical, residential and commercial facilities in the Administrative Capital.

Almaz Real Estate Marketing Company is always with you to choose your best property.
Almaz Real Estate Marketing Company

You will be your real estate advisor in investing in the New Administrative Capital (additional discounts are given to our valued customers) and you will be your guide to the best offers.

We have apartments and duplexes in all areas of New Cairo, and we have administrative, medical, residential and commercial facilities in the Administrative Capital.

Almaz Real Estate Marketing Company is always with you to choose your best property.",4,2026,Property Finder Egypt,145.94594594594594,2,0
propertyfinder_eg:70635936,rent,Apartment,50000,EGP,230,sqm,3,3,Cairo,Cairo,Al Narges,Unknown,30.017852783203125,31.454877853393555,2026-04-30 14:30:53+00:00,1,Unknown,False,https://www.propertyfinder.eg/en/search?kw=Fifth+Settlement%2C+New+Cairo%2C+Cairo&ob=mr&page=1&c=2,https://www.propertyfinder.eg/en/plp/rent/apartment-for-rent-cairo-new-cairo-city-al-narges-al-narges-2-70635936.html,"Furnished apartment for rent in Narges, 2 villas i","E16134D
Furnished apartment for rent in Narges, 2 villas in Fifth Settlement
Area 230 meters
	• 3 bedrooms (including a master bedroom with a jacuzzi bath)
	• 3 bathrooms
	• Large reception area of ​​3 pieces
	• Kitchen equipped with all appliances
	• A wonderful balcony with a view at the Dusit Hotel
	• Ultra Super Luxe finishing
First floor 
The price is 50 thousand
Almaz Real Estate Marketing Company

You will be your real estate advisor in investing in the New Administrative Capital (additional discounts are given to our valued customers) and you will be your guide to the best offers.

We have apartments and duplexes in all areas of New Cairo, and we have administrative, medical, residential and commercial facilities in the Administrative Capital.

Almaz Real Estate Marketing Company is always with you to choose your best property.
Almaz Real Estate Marketing Company

You will be your real estate advisor in investing in the New Administrative Capital (additional discounts are given to our valued customers) and you will be your guide to the best offers.

We have apartments and duplexes in all areas of New Cairo, and we have administrative, medical, residential and commercial facilities in the Administrative Capital.

Almaz Real Estate Marketing Company is always with you to choose your best property.",4,2026,Property Finder Egypt,217.3913043478261,2,0
